num_masks,test_accuracy,EPOCHS,BATCH_SIZE,LR,dropout_probs1,dropout_probs2,num_groups,increment_amt
0,0.098,12,32,0.001,0.7,0.4,1,1
1,0.8884,12,32,0.001,0.7,0.4,1,1
2,0.9017,12,32,0.001,0.7,0.4,1,1
3,0.9085,12,32,0.001,0.7,0.4,1,1
