num_masks,test_accuracy,EPOCHS,BATCH_SIZE,LR,dropout_probs1,dropout_probs2,num_groups,increment_amt
0,0.098,12,32,0.001,0.4,0.4,1,1
1,0.8991,12,32,0.001,0.4,0.4,1,1
2,0.908,12,32,0.001,0.4,0.4,1,1
3,0.9105,12,32,0.001,0.4,0.4,1,1
