num_masks,test_accuracy,EPOCHS,BATCH_SIZE,LR,dropout_probs1,dropout_probs2,num_groups,increment_amt
1,0.8487,12,32,0.001,0.4,0.4,1,1
2,0.8668,12,32,0.001,0.4,0.4,1,1
4,0.8783,12,32,0.001,0.4,0.4,1,1
8,0.8858,12,32,0.001,0.4,0.4,1,1
10,0.8814,12,32,0.001,0.4,0.4,1,1
