num_masks,test_accuracy,EPOCHS,BATCH_SIZE,LR,dropout_probs1,dropout_probs2,num_groups,increment_amt
1,0.8715,12,32,0.001,0.2,0.4,1,1
2,0.8914,12,32,0.001,0.2,0.4,1,1
4,0.8874,12,32,0.001,0.2,0.4,1,1
5,0.8895,12,32,0.001,0.2,0.4,1,1
